Size,Order,Total cycles,Total instructions,Total load/store instructions,Total floating point instructions,L1 data cache accesses,L1 data cache misses,L2 data cache accesses,L2 data cache misses,Thread time (sec),Real time (sec)
50,I-J-K,407279,976234,507976,250002,508087,1751,1751,272,0.000256549,0.000255760
50,I-K-J,393311,852994,507628,250000,508855,1171,1171,234,0.000248857,0.000248205
50,J-I-K,409909,975494,507628,250004,508608,5335,5335,365,0.000234073,0.000233559
50,J-K-I,657112,950492,755126,250112,757440,7272,7272,472,0.000256216,0.000255717
50,K-I-J,395970,850494,507628,250000,509487,1789,1789,179,0.000157710,0.000157218
50,K-J-I,655384,950489,755125,250419,757106,2582,2582,441,0.000255041,0.000254567
100,I-J-K,3398730,7650744,4030128,2000067,4052093,132056,132056,1598,0.001295158,0.001299684
100,I-K-J,3188616,6660747,4030134,2000037,4037622,127042,127042,196,0.001229799,0.001238083
100,J-I-K,3320004,7650744,4030128,2000014,4037317,139356,139356,2395,0.001279339,0.001287004
100,J-K-I,6662091,7380742,6010126,2001324,6376774,727220,727220,2829,0.002523957,0.002523540
100,K-I-J,3240743,6650744,4030128,2000000,4063404,147530,147530,886,0.001230758,0.001230333
100,K-J-I,6727545,7380740,6010127,2002921,6380212,736205,736205,1750,0.002548668,0.002554613
200,I-J-K,35471561,60601251,32120142,16024789,32133905,1426261,1426261,656163,0.013415884,0.013419191
200,I-K-J,26235212,52641249,32120138,16000749,32320566,1015242,1015242,18207,0.009910206,0.009914020
200,J-I-K,32224404,60601247,32120134,16016461,32368686,1321716,1321716,109844,0.012150103,0.012153474
200,J-K-I,61709469,58521251,48040144,16035057,48556967,4786842,4786842,971133,0.023252304,0.023259270
200,K-I-J,27743376,52601248,32120136,16000757,33127440,1099176,1099176,102390,0.010468537,0.010471570
200,K-J-I,61054311,58521253,48040153,16041687,48540653,4617508,4617508,823044,0.023121428,0.023126293
400,I-J-K,332117356,482402279,256480198,128240453,256902273,23768468,23768468,8094882,0.125132009,0.125153513
400,I-K-J,208620397,418562264,256480168,128016972,258172904,8100923,8100923,143966,0.078616217,0.078626797
400,J-I-K,309375714,482402273,256480186,128220370,259285775,26161365,26161365,974556,0.116640609,0.116660024
400,J-K-I,1855455072,466083380,384162402,128102295,471585644,153277107,153277107,8518746,0.698101392,0.698196172
400,K-I-J,218224203,418402265,256480170,128008642,263361586,8444553,8444553,606890,0.082249228,0.082262230
400,K-J-I,1850345892,466083218,384162083,128118877,485860955,152688255,152688255,8157824,0.696758182,0.701701097
800,I-J-K,12867135940,3849608937,2049929514,1234921833,2567104977,746210096,746210096,65917031,4.849007847,4.856272729
800,I-K-J,1676996581,3338246323,2049924286,1024152000,2066312300,64733032,64733032,1599393,0.630468598,0.630696090
800,J-I-K,12780372534,3849605474,2049922588,1271643141,2575845664,746098513,746098513,2909928,4.813924899,4.820343946
800,J-K-I,27604119092,3720330673,3072652988,1024228285,4114434623,1358159161,1358159161,95894623,10.410692965,10.417799780
800,K-I-J,1757744653,3337604414,2049920468,1024137923,2102198584,66093798,66093798,3914439,0.663508975,0.663880782
800,K-J-I,26881246336,3720329308,3072650263,1024238318,3919527576,1315233551,1315233551,90294186,2.613643984,2.623424159
1200,I-J-K,43392204134,12981610438,6916328516,4074599334,8684793067,2685023399,2685023399,241829390,16.374743953,16.398336946
1200,I-K-J,6216453437,11255046847,6916321334,3457656093,7001279143,218821540,218821540,4283606,2.354501106,2.362512381
1200,J-I-K,44443525216,12981610560,6916328760,4287295558,8700708700,2675588129,2675588129,35464696,10.050306874,10.073170659
1200,J-K-I,82863487421,12546742123,10369471888,3461338667,13286478193,4824276293,4824276293,866465152,29.159198740,29.182069483
1200,K-I-J,6949574742,11253606935,6916321510,3458230755,7192398976,222078275,222078275,10292582,2.630707775,2.641287523
1200,K-J-I,62423074209,12546732280,10369452207,3458302475,12294448963,4660998255,4660998255,815858778,18.789254134,18.816183557
1600,I-J-K,106257930410,30758426526,16391716692,9637831943,18340424539,5771622150,5771622150,780457248,16.331983047,16.359232164
1600,I-K-J,14812210312,26664969699,16391683038,8195732563,16618951168,523450546,523450546,12562643,5.620185667,5.632855781
1600,J-I-K,109245157191,30758418788,16391701216,10043647854,20379658378,6586441426,6586441426,466895234,10.088085497,10.113959393
1600,J-K-I,245244283687,29729336178,24578655998,8197335750,28468527851,10165694556,10165694556,3450147562,24.400271008,24.438599492
1600,K-I-J,16896433896,26662409900,16391683440,8197473799,17171424430,529296497,529296497,25693757,6.401985754,6.415965121
1600,K-J-I,177191098250,29729315142,24578613931,8219232945,28592136924,9271036863,9271036863,2229135560,24.987593802,25.026709542
2000,I-J-K,196047550297,60060044345,32012068330,18328726999,33482354359,12881826704,12881826704,4122245982,35.180418094,35.236357394
2000,I-K-J,29159392891,52064033333,32012046306,16009647314,32463930291,1089697276,1089697276,24232432,10.998071962,11.019139860
2000,J-I-K,126553880600,60060031001,32012041642,17522540868,35414794765,10809597090,10809597090,716573899,22.574471536,22.612338451
2000,J-K-I,312284984159,58052053203,48004086048,16157324705,53952921422,21432572938,21432572938,15330473862,56.509734105,56.593451413
2000,K-I-J,33287197140,52060028798,32012037236,16012210949,33611683179,1117133235,1117133235,55791914,12.886009236,12.909708150
2000,K-J-I,337825180500,58052066272,48004112191,16125766944,55329213863,21192003345,21192003345,15166634151,58.986493514,59.073122109
